"state","year","barrels","percentage_total_barrels","state_name","id"
"ID",2017,43299.05,0.03,"Idaho","16"
"IL",2017,1461407.4,0.86,"Illinois","17"
"IN",2017,178962.82,0.1,"Indiana","18"
"KS",2017,37922.7,0.02,"Kansas","20"
"KY",2017,174774.48,0.1,"Kentucky","21"
"LA",2017,172781.44,0.1,"Louisiana","22"
"MA",2017,480036.93,0.28,"Massachusetts","25"
"MD",2017,207397.74,0.12,"Maryland","24"
"ME",2017,279597.58,0.16,"Maine","23"
"MI",2017,1255769.21,0.74,"Michigan","26"
"MN",2017,552132.01,0.32,"Minnesota","27"
"MO",2017,12979009.87,7.6,"Missouri","29"
"MS",2017,20171.73,0.01,"Mississippi","28"
"MT",2017,151180.17,0.09,"Montana","30"
"NC",2017,1292489.72,0.76,"North Carolina","37"
"ND",2017,9987.04,0.01,"North Dakota","38"
"NE",2017,44842.65,0.03,"Nebraska","31"
"NH",2017,3065824.97,1.8,"New Hampshire","33"
"NJ",2017,2858554.37,1.67,"New Jersey","34"
"NM",2017,91738.38,0.05,"New Mexico","35"
"NV",2017,33662.72,0.02,"Nevada","32"
"NY",2017,8107417.36,4.75,"New York","36"
"OH",2017,19196084.74,11.25,"Ohio","39"
"OK",2017,24363.57,0.01,"Oklahoma","40"
"OR",2017,1793901.56,1.05,"Oregon","41"
"PA",2017,4653391.26,2.73,"Pennsylvania","42"
"RI",2017,31730.8,0.02,"Rhode Island","44"
"SC",2017,72444.13,0.04,"South Carolina","45"
"SD",2017,11035.22,0.01,"South Dakota","46"
"TN",2017,1411396.04,0.83,"Tennessee","47"
"TX",2017,19311603.51,11.31,"Texas","48"
"UT",2017,189032.34,0.11,"Utah","49"
"VA",2017,14256887.72,8.35,"Virginia","51"
"VT",2017,294244.2,0.17,"Vermont","50"
"WA",2017,462373.4,0.27,"Washington","53"
"WI",2017,10352230.52,6.07,"Wisconsin","55"
"WV",2017,11797.94,0.01,"West Virginia","54"
"WY",2017,42920.22,0.03,"Wyoming","56"
"AK",2018,193581.32,0.12,"Alaska","2"
"AL",2018,65833.66,0.04,"Alabama","1"
"AR",2018,28442.53,0.02,"Arkansas","5"
"AZ",2018,175763.14,0.11,"Arizona","4"
"CA",2018,18536648.88,11.11,"California","6"
"CO",2018,18232502.25,10.92,"Colorado","8"
"CT",2018,194099.75,0.12,"Connecticut","9"
"DC",2018,30508.91,0.02,"District of Columbia","11"
"DE",2018,298948.94,0.18,"Delaware","10"
"FL",2018,11295225.46,6.77,"Florida","12"
"GA",2018,14178395.46,8.5,"Georgia","13"
"HI",2018,81317.65,0.05,"Hawaii","15"
"IA",2018,94473.26,0.06,"Iowa","19"
"ID",2018,42742.88,0.03,"Idaho","16"
"IL",2018,1563136.96,0.94,"Illinois","17"
"IN",2018,173374.49,0.1,"Indiana","18"
"KS",2018,25478.98,0.02,"Kansas","20"
"KY",2018,185984.98,0.11,"Kentucky","21"
"LA",2018,170613.08,0.1,"Louisiana","22"
"MA",2018,445576.11,0.27,"Massachusetts","25"
"MD",2018,322363.9,0.19,"Maryland","24"
"ME",2018,230410.47,0.14,"Maine","23"
"MI",2018,1387343.27,0.83,"Michigan","26"
"MN",2018,679958.64,0.41,"Minnesota","27"
"MO",2018,12723022.37,7.62,"Missouri","29"
"MS",2018,20917.81,0.01,"Mississippi","28"
"MT",2018,148720.96,0.09,"Montana","30"
