tax_status,year,month,type,month_current,tax_rate
Taxable,2012,7,"Tax Determined, Premises Use",7873,$7/$18 per barrel
Tax Free,2012,7,For export,437938,$7/$18 per barrel
Tax Free,2012,7,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2012,7,Consumed on brewery premises,1844,$7/$18 per barrel
Taxable,2012,8,In bottles and cans,14961416,$7/$18 per barrel
Taxable,2012,8,In kegs,1565666,$7/$18 per barrel
Taxable,2012,8,"Tax Determined, Premises Use",8502,$7/$18 per barrel
Tax Free,2012,8,For export,411977,$7/$18 per barrel
Tax Free,2012,8,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2012,8,Consumed on brewery premises,1525,$7/$18 per barrel
Taxable,2012,9,In bottles and cans,13052268,$7/$18 per barrel
Taxable,2012,9,In kegs,1574509,$7/$18 per barrel
Taxable,2012,9,"Tax Determined, Premises Use",111767,$7/$18 per barrel
Tax Free,2012,9,For export,429588,$7/$18 per barrel
Tax Free,2012,9,For vessels and aircraft,75,$7/$18 per barrel
Tax Free,2012,9,Consumed on brewery premises,9831,$7/$18 per barrel
Taxable,2012,10,In bottles and cans,12819635,$7/$18 per barrel
Taxable,2012,10,In kegs,1460515,$7/$18 per barrel
Taxable,2012,10,"Tax Determined, Premises Use",8318,$7/$18 per barrel
Tax Free,2012,10,For export,483568,$7/$18 per barrel
Tax Free,2012,10,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2012,10,Consumed on brewery premises,1467,$7/$18 per barrel
Taxable,2012,11,In bottles and cans,12079191,$7/$18 per barrel
Taxable,2012,11,In kegs,1326659,$7/$18 per barrel
Taxable,2012,11,"Tax Determined, Premises Use",7426,$7/$18 per barrel
Tax Free,2012,11,For export,441845,$7/$18 per barrel
Tax Free,2012,11,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2012,11,Consumed on brewery premises,1267,$7/$18 per barrel
Taxable,2012,12,In bottles and cans,11488549,$7/$18 per barrel
Taxable,2012,12,In kegs,1385919,$7/$18 per barrel
Taxable,2012,12,"Tax Determined, Premises Use",102737,$7/$18 per barrel
Tax Free,2012,12,For export,427839,$7/$18 per barrel
Tax Free,2012,12,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2012,12,Consumed on brewery premises,9684,$7/$18 per barrel
Taxable,2013,1,In bottles and cans,12274005,$7/$18 per barrel
Taxable,2013,1,In kegs,1406771,$7/$18 per barrel
Taxable,2013,1,"Tax Determined, Premises Use",7310,$7/$18 per barrel
Tax Free,2013,1,For export,350896,$7/$18 per barrel
Tax Free,2013,1,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2013,1,Consumed on brewery premises,1090,$7/$18 per barrel
Taxable,2013,2,In bottles and cans,11634824,$7/$18 per barrel
Taxable,2013,2,In kegs,1267516,$7/$18 per barrel
Taxable,2013,2,"Tax Determined, Premises Use",6747,$7/$18 per barrel
Tax Free,2013,2,For export,364352,$7/$18 per barrel
Tax Free,2013,2,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2013,2,Consumed on brewery premises,956,$7/$18 per barrel
Taxable,2013,3,In bottles and cans,12988319,$7/$18 per barrel
Taxable,2013,3,In kegs,1590977,$7/$18 per barrel
Taxable,2013,3,"Tax Determined, Premises Use",135222,$7/$18 per barrel
Tax Free,2013,3,For export,389026,$7/$18 per barrel
Tax Free,2013,3,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2013,3,Consumed on brewery premises,12078,$7/$18 per barrel
Taxable,2013,4,In bottles and cans,13568681,$7/$18 per barrel
Taxable,2013,4,In kegs,1473897,$7/$18 per barrel
Taxable,2013,4,"Tax Determined, Premises Use",8817,$7/$18 per barrel
Tax Free,2013,4,For export,419968,$7/$18 per barrel
Tax Free,2013,4,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2013,4,Consumed on brewery premises,1269,$7/$18 per barrel
Taxable,2013,5,In bottles and cans,14776310,$7/$18 per barrel
Taxable,2013,5,In kegs,1533136,$7/$18 per barrel
Taxable,2013,5,"Tax Determined, Premises Use",7880,$7/$18 per barrel
Tax Free,2013,5,For export,485237,$7/$18 per barrel
Tax Free,2013,5,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2013,5,Consumed on brewery premises,1724,$7/$18 per barrel
Taxable,2013,6,In bottles and cans,14758150,$7/$18 per barrel
Taxable,2013,6,In kegs,1656493,$7/$18 per barrel
Taxable,2013,6,"Tax Determined, Premises Use",117302,$7/$18 per barrel
Tax Free,2013,6,For export,415176,$7/$18 per barrel
Tax Free,2013,6,For vessels and aircraft,661,$7/$18 per barrel
Tax Free,2013,6,Consumed on brewery premises,14767,$7/$18 per barrel
Taxable,2013,7,In bottles and cans,14620708,$7/$18 per barrel
Taxable,2013,7,In kegs,1489704,$7/$18 per barrel
Taxable,2013,7,"Tax Determined, Premises Use",8775,$7/$18 per barrel
Tax Free,2013,7,For export,521250,$7/$18 per barrel
Tax Free,2013,7,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2013,7,Consumed on brewery premises,1810,$7/$18 per barrel
Taxable,2013,8,In bottles and cans,14624362,$7/$18 per barrel
Taxable,2013,8,In kegs,1489756,$7/$18 per barrel
Taxable,2013,8,"Tax Determined, Premises Use",7914,$7/$18 per barrel
Tax Free,2013,8,For export,463206,$7/$18 per barrel
Tax Free,2013,8,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2013,8,Consumed on brewery premises,1808,$7/$18 per barrel
Taxable,2013,9,In bottles and cans,13420386,$7/$18 per barrel
Taxable,2013,9,In kegs,1610189,$7/$18 per barrel
Taxable,2013,9,"Tax Determined, Premises Use",121678,$7/$18 per barrel
Tax Free,2013,9,For export,496157,$7/$18 per barrel
Tax Free,2013,9,For vessels and aircraft,1,$7/$18 per barrel
